name,namespace,description,created_at,updated_at,url,homepage,rm,archive,lab_project,personal_project,workshops_and_colearning,methods,meta_lab,is_package,uses_targets
spatially-explicit-kp-rates,WEEL_grp,"Spatially explicit kill and predation rates
",2018-10-26T16:32:17.216Z,2024-01-11T22:57:22.143Z,https://gitlab.com/WEEL_grp/spatially-explicit-kp-rates.git,https://gitlab.com/WEEL_grp/spatially-explicit-kp-rates,,,,TRUE,,,,,
beaver-transects,WEEL_grp,,2018-11-01T14:01:34.475Z,2024-01-12T00:12:49.522Z,https://gitlab.com/WEEL_grp/beaver-transects.git,https://gitlab.com/WEEL_grp/beaver-transects,,,,TRUE,,,,,
irg,robitalec,:package: irg is an R package for calculating the instantaneous rate of green-up.,2018-12-05T21:18:27Z,2024-11-10T18:56:19Z,https://github.com/robitalec/irg,https://robitalec.github.io/irg/,,,,,,TRUE,,TRUE,
Fogo Caribou,WEEL_grp,Fogo Caribou GPS data,2018-12-10T14:20:07.921Z,2024-01-16T00:26:15.314Z,https://gitlab.com/WEEL_grp/fogo-caribou.git,https://gitlab.com/WEEL_grp/fogo-caribou,,,,,,TRUE,TRUE,,
camera-grids,WEEL_grp,,2018-12-21T20:48:16.587Z,2024-01-16T02:59:01.297Z,https://gitlab.com/WEEL_grp/camera-grids.git,https://gitlab.com/WEEL_grp/camera-grids,,,,,,TRUE,,,
Jaclyn-beluga,WEEL_grp,"Processing J-watcher output files, organizing and calculating offspring behaviours and escorted associations. ",2019-01-07T13:39:14.759Z,2024-01-11T09:46:55.330Z,https://gitlab.com/WEEL_grp/jaclyn-beluga.git,https://gitlab.com/WEEL_grp/jaclyn-beluga,,,,TRUE,,,,,
spatsoc-webinar,robitalec,,2019-01-11T23:23:25.961Z,2024-01-10T19:46:21.833Z,https://gitlab.com/robitalec/spatsoc-webinar.git,https://gitlab.com/robitalec/spatsoc-webinar,,,,,TRUE,,,,
try-rust,robitalec,,2019-01-19T20:24:10.335Z,2024-01-11T12:43:03.865Z,https://gitlab.com/robitalec/try-rust.git,https://gitlab.com/robitalec/try-rust,,,,,,TRUE,,,
camtrapmonitoring,robitalec,:package: camtrapmonitoring is an R package for planning and evaluating camera trap surveys and (soon) estimating wildlife density. Formerly named {wildcam}.,2019-01-24T03:09:13Z,2024-06-25T14:02:09Z,https://github.com/robitalec/camtrapmonitoring,https://robitalec.github.io/camtrapmonitoring/,,,,,,TRUE,,TRUE,
SocCaribou,wildlifeevoeco,:notebook: Space-use and social organization in a gregarious ungulate,2019-02-28T18:36:10Z,2021-08-06T15:43:00Z,https://github.com/wildlifeevoeco/SocCaribou,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.5071,,,TRUE,,,,,,
HyenaEarlyRelationshipsFitness,JWTurner,:notebook: Early life relationships matter: Social position during early life predicts fitness among female spotted hyenas,2019-03-01T23:25:48.566Z,2024-01-11T06:30:43.841Z,https://gitlab.com/JWTurner/HyenaEarlyRelationshipsFitness.git,https://gitlab.com/JWTurner/HyenaEarlyRelationshipsFitness,,,,TRUE,,,,,
hwig,robitalec,:package: hwig is an R package for calculating gregariousness adjusted half-weight index.,2019-03-04T23:35:22Z,2023-03-03T22:16:32Z,https://github.com/robitalec/hwig,,,,,,,TRUE,,TRUE,
amt-by,WEEL_grp,,2019-03-26T19:13:44.579Z,2024-01-09T17:18:43.408Z,https://gitlab.com/WEEL_grp/amt-by.git,https://gitlab.com/WEEL_grp/amt-by,,,,,,TRUE,,,
maps-in-gg,WEEL_grp,Forget about arc! Let's make maps in gg!! :),2019-04-07T22:06:29.569Z,2024-01-12T00:42:05.848Z,https://gitlab.com/WEEL_grp/maps-in-gg.git,https://gitlab.com/WEEL_grp/maps-in-gg,,,,,TRUE,TRUE,,,
EWC-2019,WEEL_grp,,2019-04-24T12:08:21.466Z,2024-01-11T11:23:46.300Z,https://gitlab.com/WEEL_grp/ewc-2019.git,https://gitlab.com/WEEL_grp/ewc-2019,,,TRUE,,,,,,
ee-helpers,robitalec,,2019-05-02T17:57:38.201Z,2024-01-11T03:15:57.365Z,https://gitlab.com/robitalec/ee-helpers.git,https://gitlab.com/robitalec/ee-helpers,,,,,,TRUE,,,
spatsoc-application-paper,robitalec,:notebook: Conducting social network analysis with animal telemetry data: applications and methods using spatsoc,2019-05-14T19:28:40.960Z,2024-01-11T13:51:57.354Z,https://gitlab.com/robitalec/spatsoc-application-paper.git,https://gitlab.com/robitalec/spatsoc-application-paper,,,,TRUE,,,,,
workshops,robitalec,,2019-05-28T17:02:07.933Z,2024-01-10T19:49:15.721Z,https://gitlab.com/robitalec/workshops.git,https://gitlab.com/robitalec/workshops,,,,,TRUE,,,,
Elk Density iSSA,WEEL_grp,,2019-06-22T03:07:03.760Z,2024-01-09T08:57:14.210Z,https://gitlab.com/WEEL_grp/elk-density-issa.git,https://gitlab.com/WEEL_grp/elk-density-issa,,,,TRUE,,,,,
test-gitahead,robitalec,,2019-06-23T01:54:15.879Z,2024-01-09T09:02:10.268Z,https://gitlab.com/robitalec/test-gitahead.git,https://gitlab.com/robitalec/test-gitahead,,,,,,TRUE,,,
try-writing-group,robitalec,,2019-08-04T18:52:19.502Z,2024-01-15T21:08:24.309Z,https://gitlab.com/robitalec/try-writing-group.git,https://gitlab.com/robitalec/try-writing-group,,,,,,TRUE,,,
ScaleInMultilayerNetworks,robitalec,:notebook: Package Accompanying: The problem and promise of scale in multilayer animal social networks.,2019-09-10T14:12:21.290Z,2024-01-09T09:23:31.771Z,https://gitlab.com/robitalec/scale-in-multilayer-networks.git,https://gitlab.com/robitalec/scale-in-multilayer-networks,,,,TRUE,,,,,
wolf_clusters,WEEL_grp,,2019-09-10T17:27:15.341Z,2024-01-09T09:11:59.569Z,https://gitlab.com/WEEL_grp/wolf_clusters.git,https://gitlab.com/WEEL_grp/wolf_clusters,,,,TRUE,,,,,
MovingAcrossGradients,wildlifeevoeco,:notebook: The ecology of individual differences empirically applied to space-use and movement tactics,2019-12-09T19:04:49Z,2020-08-05T16:40:54Z,https://github.com/wildlifeevoeco/MovingAcrossGradients,,,,TRUE,,,,,,
individual_FR,WEEL_grp,,2020-02-06T15:00:42.239Z,2023-12-07T02:57:09.065Z,https://gitlab.com/WEEL_grp/individual_fr.git,https://gitlab.com/WEEL_grp/individual_fr,,,,TRUE,,,,,
slides.robitalec.ca,robitalec,,2020-02-06T17:04:16.324Z,2023-12-09T10:52:22.824Z,https://gitlab.com/robitalec/slides.robitalec.ca.git,https://gitlab.com/robitalec/slides.robitalec.ca,,,,,TRUE,,,,
nl-landcover,WEEL_grp,,2020-02-10T21:06:58.243Z,2023-12-08T20:50:16.175Z,https://gitlab.com/WEEL_grp/nl-landcover.git,https://gitlab.com/WEEL_grp/nl-landcover,,,TRUE,,,,,,
review-sociality-habitat,robitalec,,2020-02-21T16:09:24.691Z,2023-12-08T23:01:03.660Z,https://gitlab.com/robitalec/review-sociality-habitat.git,https://gitlab.com/robitalec/review-sociality-habitat,,,,TRUE,,,,,
shiny-wg-randomizations,WEEL_grp,,2020-03-03T21:35:59.471Z,2023-12-09T15:43:22.434Z,https://gitlab.com/WEEL_grp/shiny-wg-randomizations.git,https://gitlab.com/WEEL_grp/shiny-wg-randomizations,,,,,,,TRUE,,
Moose StDM,jballuffi,"Analysis for moose foraging project with stoichiometric distribution models started in 2018. (MSc, Newfoundland).",2020-04-02T18:44:08.683Z,2023-12-09T23:42:51.467Z,https://gitlab.com/jballuffi/moose-stdm.git,https://gitlab.com/jballuffi/moose-stdm,,,,TRUE,,,,,
ordered_fr,WEEL_grp,,2020-05-07T22:36:39.450Z,2023-12-11T23:22:26.859Z,https://gitlab.com/WEEL_grp/ordered_fr.git,https://gitlab.com/WEEL_grp/ordered_fr,,,,TRUE,,,,,
elk_density_issa,WEEL_grp,,2020-05-07T23:37:51.385Z,2023-12-06T16:49:02.909Z,https://gitlab.com/WEEL_grp/elk_density_issa.git,https://gitlab.com/WEEL_grp/elk_density_issa,,,,TRUE,,,,,
WEEL Guide,weel,https://weel.gitlab.io/guide/,2020-05-09T13:29:57.906Z,2024-06-25T16:01:34.463Z,https://gitlab.com/weel/guide.git,https://gitlab.com/weel/guide,,,,,,,TRUE,,
bedsite_algorithm,ljnewediuk,,2020-05-11T13:23:17.310Z,2023-12-11T23:56:33.405Z,https://gitlab.com/ljnewediuk/bedsite_algorithm.git,https://gitlab.com/ljnewediuk/bedsite_algorithm,,,,TRUE,,,,,
caribou-ifd-gsh,wildlifeevoeco,:notebook: Geometry of the ideal free distribution: individual behavioural variation and annual reproductive success in aggregations of a social ungulate,2020-05-14T12:39:34Z,2023-09-01T20:22:19Z,https://github.com/wildlifeevoeco/caribou-ifd-gsh,https://doi.org/10.1111/ele.13563,,,TRUE,,,,,,
study-area-figs,wildlifeevoeco,:world_map:  Study area figures for the Wildlife Evolutionary Ecology Lab,2020-05-22T18:21:18Z,2021-10-22T21:19:28Z,https://github.com/wildlifeevoeco/study-area-figs,,,,,,,TRUE,TRUE,,
try-drake,robitalec,Learning the {{drake}} package,2020-06-16T15:19:13.867Z,2023-12-12T08:11:05.566Z,https://gitlab.com/robitalec/try-drake.git,https://gitlab.com/robitalec/try-drake,,,,,,TRUE,,,
try-rgee,robitalec,Learning the {{rgee}} package,2020-07-27T15:13:39.661Z,2023-12-12T17:44:31.663Z,https://gitlab.com/robitalec/try-rgee.git,https://gitlab.com/robitalec/try-rgee,,,,,,TRUE,,,
